,Address,City,ZIP,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
4518,"221 Broadway",NASHVILLE,37201.0,TN,36.161418,-86.77575,1,rooftop,221,Broadway,,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
4519,"200 6th Ave N",NASHVILLE,37219.0,TN,36.161182,-86.7806,1,range_interpolation,200,"6th Ave N",,,Nashville,TN,"Davidson County",37219,US,"TIGER/Line® dataset from the US Census Bureau"
4520,"808 Madison Square",MADISON,37115.0,TN,36.254984,-86.717624,1,rooftop,808,"Madison Sq",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
4521,"410 Old Hickory Blvd",BRENTWOOD,37027.0,TN,36.039539,-86.743932,0.7,nearest_rooftop_match,401,"Old Hickory Blvd",,,Brentwood,TN,"Davidson County",37027,US,"City of Nashville"
4522,"2400 Music Valley Dr",NASHVILLE,37214.0,TN,36.217595,-86.696909,1,rooftop,2400,"Music Valley Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
4523,"287 Hollandale Rd",,,TN,0,0,0,,,,,,,,,,,
4524,"915 Rivergate Pkwy",GOODLETTSVILLE,37072.0,TN,36.298155,-86.700327,1,rooftop,915,"Rivergate Pkwy",,,Goodlettsville,TN,"Davidson County",37072,US,"City of Nashville"
4525,"7531 Bidwell Rd",JOELTON,37080.0,TN,36.342296,-86.898659,1,rooftop,7531,"Bidwell Rd",,,Joelton,TN,"Davidson County",37080,US,"City of Nashville"
4526,"1524 Demonbreun St",NASHVILLE,37203.0,TN,36.152989,-86.790464,0.99,rooftop,"1524 A","Demonbreun St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4527,"14th Ave N",NASHVILLE,37208.0,TN,36.170799,-86.80133,1,street_center,,"14th Ave N",,,Nashville,TN,"Davidson County",37208,US,"TIGER/Line® dataset from the US Census Bureau"
4528,"90 Oldham St",NASHVILLE,37213.0,TN,36.174066,-86.776064,1,rooftop,90,"Oldham St",,,Nashville,TN,"Davidson County",37213,US,"City of Nashville"
4529,"Firestone Pkwy & Old Hickory Blvd","LA VERGNE",37086.0,TN,36.012954,-86.610842,1,street_center,,"Firestone Pkwy",,,"La Vergne",TN,"Davidson County",37086,US,"TIGER/Line® dataset from the US Census Bureau"
4530,"407 Harding Industrial Dr",NASHVILLE,37211.0,TN,36.089729,-86.688904,1,range_interpolation,407,"Harding Industrial Dr",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
4531,"1707 Church St",NASHVILLE,37203.0,TN,36.155339,-86.796333,1,rooftop,1707,"Church St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4532,"1010 Forrest Ave",NASHVILLE,37206.0,TN,36.178368,-86.750135,1,rooftop,1010,"Forrest Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
4533,"5129 Virginia Way",,,TN,26.27804,-98.108536,0.38,nearest_rooftop_match,5111,"Virginia St",,,Edinburg,TX,"Hidalgo County",78542,US,"Hidalgo County"
4534,"4000 Hillsboro Pike",NASHVILLE,37215.0,TN,36.10435,-86.814519,1,rooftop,4000,"Hillsboro Pike",,,Nashville,TN,"Davidson County",37215,US,"City of Nashville"
4535,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
4536,"1904 Broadway",NASHVILLE,37203.0,TN,36.150851,-86.797022,1,rooftop,1904,Broadway,,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4537,"90 White Bridge Rd",NASHVILLE,37205.0,TN,36.129962,-86.852324,0.8,rooftop,90,"White Bridge Pike",,,Nashville,TN,"Davidson County",37205,US,"City of Nashville"
4538,"172 James Robertson Pkwy",NASHVILLE,37201.0,TN,36.167778,-86.778525,1,range_interpolation,172,"James Robertson Pkwy",,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
4539,"801 Broadway",NASHVILLE,37203.0,TN,36.15826,-86.782844,1,rooftop,801,Broadway,,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4540,"6900 Lenox Village Dr",NASHVILLE,37211.0,TN,36.024902,-86.712518,1,rooftop,6900,"Lenox Village Dr",,,Nashville,TN,"Davidson County",37211,US,"City of Nashville"
4541,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
4542,"590 N Dupont Ave",MADISON,37115.0,TN,36.267219,-86.698923,1,rooftop,590,"N Dupont Ave",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
4543,"3103 Clarksville Pike",NASHVILLE,37218.0,TN,36.192349,-86.829716,1,rooftop,3103,"Clarksville Pike",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
4544,"3021 Lealand Ln",NASHVILLE,37204.0,TN,36.119375,-86.787498,1,range_interpolation,3021,"Lealand Ln",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
4545,Nashville,NASHVILLE,37219.0,TN,36.165688,-86.778098,1,place,,,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
4546,"221 Broadway",NASHVILLE,37201.0,TN,36.161418,-86.77575,1,rooftop,221,Broadway,,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
4547,"398 Harding Pl",NASHVILLE,37211.0,TN,36.092471,-86.689468,0.5,nearest_rooftop_match,410,"Harding Industrial Dr",,,Nashville,TN,"Davidson County",37211,US,"City of Nashville"
4548,"1906 Charlotte Ave",NASHVILLE,37203.0,TN,36.157703,-86.80159,1,range_interpolation,1906,"Charlotte Ave",,,Nashville,TN,"Davidson County",37209,US,"TIGER/Line® dataset from the US Census Bureau"
4549,"1307 Lebanon Pike",NASHVILLE,37210.0,TN,36.152468,-86.729176,1,rooftop,1307,"Lebanon Pike",,,Nashville,TN,"Davidson County",37210,US,"City of Nashville"
4550,"834 Porter Rd",NASHVILLE,37206.0,TN,36.186008,-86.730932,1,rooftop,834,"Porter Rd",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
4551,"4290 Kenilwood Dr",NASHVILLE,37204.0,TN,36.091251,-86.761635,0.6,street_center,,"Kenilwood Dr",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
4552,"104 Oak Valley Dr",NASHVILLE,37207.0,TN,36.231129,-86.759864,1,rooftop,104,"Oak Valley Dr",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
4553,"600 Rivergate Pkwy",GOODLETTSVILLE,37072.0,TN,36.312706,-86.706594,1,rooftop,600,"Rivergate Pkwy",,,Goodlettsville,TN,"Davidson County",37072,US,"City of Nashville"
4554,"410 39th Ave N",NASHVILLE,37209.0,TN,36.153644,-86.832349,1,rooftop,410,"39th Ave N",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
4555,"2817 West End Ave",NASHVILLE,37203.0,TN,36.144523,-86.812761,1,rooftop,2817,"W End Ave",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4556,"2535 8th Ave S",NASHVILLE,37204.0,TN,36.124172,-86.776578,1,range_interpolation,2535,"8th Ave S",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
4557,"5106 Old Hickory Blvd",NASHVILLE,37218.0,TN,36.212066,-86.919678,1,rooftop,5106,"Old Hickory Blvd",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
4558,"7083 Hwy 70 S",NASHVILLE,37221.0,TN,36.074294,-86.921004,1,range_interpolation,7083,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4559,"350 White Bridge Pike",NASHVILLE,37209.0,TN,36.148659,-86.857673,1,rooftop,350,"White Bridge Pike",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
4560,"100 Madison St",NASHVILLE,37208.0,TN,36.177785,-86.784834,1,rooftop,100,"Madison St",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
4561,"908 Main St",NASHVILLE,37206.0,TN,36.175738,-86.756582,1,rooftop,908,"Main St",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
4562,"5705 Charlotte Pike",NASHVILLE,37209.0,TN,36.149188,-86.860724,1,rooftop,5705,"Charlotte Pike",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
4563,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
4564,"1515 3rd Ave N",NASHVILLE,37208.0,TN,36.181509,-86.789699,1,rooftop,1515,"3rd Ave N",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
4565,"7601 Hwy 70 S",NASHVILLE,37221.0,TN,36.078579,-86.951349,1,range_interpolation,7601,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4566,"Blackwood Dr",NASHVILLE,37214.0,TN,36.148706,-86.633074,1,street_center,,"Blackwood Dr",,,Nashville,TN,"Davidson County",37214,US,"TIGER/Line® dataset from the US Census Bureau"
4567,"221 5th Ave S",NASHVILLE,37219.0,TN,36.157909,-86.776942,1,range_interpolation,221,"5th Ave S",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
4568,"1923 Broadway",NASHVILLE,37203.0,TN,36.149432,-86.797943,1,rooftop,1923,Broadway,,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4569,"2000 Richard Jones Rd",NASHVILLE,37215.0,TN,36.105002,-86.809705,1,rooftop,2000,"Richard Jones Rd",,,Nashville,TN,"Davidson County",37215,US,"City of Nashville"
4570,"3458 Dickerson Pike",NASHVILLE,37207.0,TN,36.244525,-86.762264,1,rooftop,3458,"Dickerson Pike",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
4571,"715 Team Blvd",,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
4572,"541 Stewarts Ferry Pike",NASHVILLE,37214.0,TN,36.158108,-86.638214,1,range_interpolation,541,"Stewarts Ferry Pike",,,Nashville,TN,"Davidson County",37214,US,"TIGER/Line® dataset from the US Census Bureau"
4573,"219 US-70",NASHVILLE,37201.0,TN,36.15416,-86.75726,1,range_interpolation,219,"US Hwy 70",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
4574,"221 Broadway",,,TN,35.675069,-88.466716,0.27,place,,,,,Broadway,TN,"Henderson County",38351,US,"TIGER/Line® dataset from the US Census Bureau"
4575,"5814 Nolensville Pike",NASHVILLE,37211.0,TN,36.042085,-86.712767,1,range_interpolation,5814,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
4576,"1901 Division St",NASHVILLE,37203.0,TN,36.150175,-86.795961,1,rooftop,1901,"Division St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4577,"112 2nd Ave N",NASHVILLE,37201.0,TN,36.162458,-86.775319,1,rooftop,112,"2nd Ave N",,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
4578,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
4579,"4041 Hillsboro Cir",NASHVILLE,37215.0,TN,36.104104,-86.819801,1,range_interpolation,4041,"Hillsboro Cir",,,Nashville,TN,"Davidson County",37215,US,"TIGER/Line® dataset from the US Census Bureau"
4580,"4100 Timothy Dr",NASHVILLE,37218.0,TN,36.21443,-86.843512,1,rooftop,4100,"Timothy Dr",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
4581,"221 Broadway",NASHVILLE,37201.0,TN,36.161418,-86.77575,1,rooftop,221,Broadway,,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
4582,"1800 US-70",NASHVILLE,37203.0,TN,36.155592,-86.711915,1,rooftop,1800,"Lebanon Pike",,,Nashville,TN,"Davidson County",37210,US,"City of Nashville"
4583,"2304 Murfreesboro Pike",NASHVILLE,37217.0,TN,36.086834,-86.648488,1,range_interpolation,2304,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
4584,"4230 Harding Pike",NASHVILLE,37205.0,TN,36.128682,-86.845399,1,rooftop,4230,"Harding Pike",,,Nashville,TN,"Davidson County",37205,US,"City of Nashville"
4585,"1513 Robinson Rd","OLD HICKORY",37138.0,TN,36.255461,-86.652861,1,rooftop,1513,"Robinson Rd",,,"Old Hickory",TN,"Davidson County",37138,US,"City of Nashville"
4586,"319 Fesslers Ln",NASHVILLE,37210.0,TN,36.151305,-86.742898,1,range_interpolation,319,"Fesslers Ln",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
4587,"109 Gallatin Ave",MADISON,37115.0,TN,36.178315,-86.751695,1,range_interpolation,109,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"TIGER/Line® dataset from the US Census Bureau"
4588,"7000 Charlotte Pike",NASHVILLE,37209.0,TN,36.129311,-86.903307,1,range_interpolation,7000,"Charlotte Pike",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4589,"7201b Whites Creek Pike",JOELTON,37080.0,TN,36.318919,-86.867295,0.9,rooftop,7201,"Whites Creek Pike",,,Joelton,TN,"Davidson County",37080,US,"City of Nashville"
4590,"1200 Lebanon Pike",NASHVILLE,37210.0,TN,36.1541,-86.732312,1,rooftop,1200,"Lebanon Pike",,,Nashville,TN,"Davidson County",37210,US,"City of Nashville"
4591,"460 Opry Mills Dr",NASHVILLE,37214.0,TN,36.20366,-86.69239,1,rooftop,460,"Opry Mills Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
4592,"327 Gatewood Ave",NASHVILLE,37207.0,TN,36.199515,-86.763852,1,rooftop,327,"Gatewood Ave",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
4593,"305 Manchester Ave",NASHVILLE,37206.0,TN,36.186782,-86.735788,1,rooftop,305,"Manchester Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
4594,"1807 West End Ave",NASHVILLE,37203.0,TN,36.152838,-86.79599,1,range_interpolation,1807,"W End Ave",,,Nashville,TN,"Davidson County",37240,US,"TIGER/Line® dataset from the US Census Bureau"
4595,"2215 Rosa L Parks Blvd",NASHVILLE,37228.0,TN,36.192691,-86.803669,1,rooftop,2215,"Rosa L Parks Blvd",,,Nashville,TN,"Davidson County",37228,US,"City of Nashville"
4596,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
4597,"3337 Cocoa Dr",NASHVILLE,37218.0,TN,36.185486,-86.846299,1,rooftop,3337,"Cocoa Dr",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
4598,"8159 TN-100",NASHVILLE,37221.0,TN,36.044019,-86.957668,1,range_interpolation,8159,"Hwy 100",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4599,"5106 Old Hickory Blvd",NASHVILLE,37218.0,TN,36.212066,-86.919678,1,rooftop,5106,"Old Hickory Blvd",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
4600,"2040 Rosa L Parks Blvd",NASHVILLE,37228.0,TN,36.189612,-86.798175,1,rooftop,2040,"Rosa L Parks Blvd",,,Nashville,TN,"Davidson County",37228,US,"City of Nashville"
4601,"4009 Hillsboro Pike",NASHVILLE,37215.0,TN,36.103926,-86.815571,1,range_interpolation,4009,"Hillsboro Pike",,,Nashville,TN,"Davidson County",37215,US,"TIGER/Line® dataset from the US Census Bureau"
4602,"500 Hickory Hollow Terrace",ANTIOCH,37013.0,TN,36.05244,-86.648262,0.8,range_interpolation,500,"Hickory Hollow Ter",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
4603,"2491 Murfreesboro Pike",NASHVILLE,37217.0,TN,36.079697,-86.645073,1,range_interpolation,2491,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
4604,"5305 Mt View Rd",ANTIOCH,37013.0,TN,36.049279,-86.647647,0.82,nearest_rooftop_match,5303,"Mt View Rd",,,Antioch,TN,"Davidson County",37013,US,"City of Nashville"
4605,"412 Dr DB Todd Jr Blvd",NASHVILLE,37203.0,TN,36.159007,-86.800652,1,range_interpolation,412,"Dr Db Todd Jr Blvd",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
4606,"619 W Due West Ave",MADISON,37115.0,TN,36.248241,-86.740321,1,rooftop,619,"Due West Ave W",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
4607,"3532 Murfreesboro Pike",ANTIOCH,37013.0,TN,36.052989,-86.617246,1,range_interpolation,3532,"Murfreesboro Pike",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
4608,"111 N 1st St",NASHVILLE,37213.0,TN,36.172131,-86.772031,1,rooftop,111,"N 1st St",,,Nashville,TN,"Davidson County",37213,US,"City of Nashville"
4609,Broadway,NASHVILLE,37203.0,TN,36.157238,-86.785557,1,street_center,,Broadway,,,Nashville,TN,"Davidson County",37240,US,"TIGER/Line® dataset from the US Census Bureau"
4610,"4015 Hillsboro Pike",NASHVILLE,37215.0,TN,36.103061,-86.818319,1,rooftop,4015,"Hillsboro Pike",,,Nashville,TN,"Davidson County",37215,US,"City of Nashville"
4611,"711 Gallatin Ave",NASHVILLE,37206.0,TN,36.184402,-86.747768,1,rooftop,711,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
4612,"66 Fern Ave",NASHVILLE,37207.0,TN,36.195715,-86.777504,1,rooftop,66,"Fern Ave",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
4613,"Home Depot",NASHVILLE,37221.0,TN,36.210737,-86.734644,1,street_center,,"Home Rd",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
4614,"3501 US-70",NASHVILLE,37209.0,TN,36.152558,-86.826281,1,rooftop,3501,"Charlotte Ave",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
4615,"1701 21st Ave S",NASHVILLE,37212.0,TN,36.137403,-86.801082,1,rooftop,1701,"21st Ave S",,,Nashville,TN,"Davidson County",37212,US,"City of Nashville"
4616,"2408 Music Valley Dr",NASHVILLE,37214.0,TN,36.219621,-86.695764,1,rooftop,2408,"Music Valley Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
4617,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
4618,"717 3rd Ave N",NASHVILLE,37201.0,TN,36.170967,-86.782246,1,rooftop,717,"3rd Ave N",,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
4619,"701 4th Ave S",NASHVILLE,37210.0,TN,36.153152,-86.772343,1,rooftop,701,"4th Ave S",,,Nashville,TN,"Davidson County",37210,US,"City of Nashville"
4620,"100 Meridian St",NASHVILLE,37207.0,TN,36.178115,-86.771005,1,rooftop,100,"Meridian St",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
4621,"336 Harding Pl",NASHVILLE,37211.0,TN,36.086766,-86.69359,0.9,range_interpolation,336,"Harding Pl",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
4622,"711 Gallatin Ave",NASHVILLE,37206.0,TN,36.184402,-86.747768,1,rooftop,711,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
4623,"6718 Nolensville Pike",BRENTWOOD,37027.0,TN,35.992863,-86.685375,0.9,range_interpolation,6718,"Nolensville Pike",,,Brentwood,TN,"Williamson County",37027,US,"TIGER/Line® dataset from the US Census Bureau"
4624,"4501 Murphy Rd",NASHVILLE,37209.0,TN,36.140812,-86.840489,1,rooftop,4501,"Murphy Rd",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
4625,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
4626,"2126 Abbott Martin Rd",NASHVILLE,37215.0,TN,36.107832,-86.815137,1,rooftop,2126,"Abbott Martin Rd",,,Nashville,TN,"Davidson County",37215,US,"City of Nashville"
4627,"329 Broadway",NASHVILLE,37201.0,TN,36.160925,-86.776897,1,rooftop,329,Broadway,,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
4628,"7657 Hwy 70 S",NASHVILLE,37221.0,TN,36.080938,-86.955952,1,range_interpolation,7657,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4629,"8 University Park Dr",NASHVILLE,37204.0,TN,36.106002,-86.79822,1,rooftop,8,"University Park Dr",,,Nashville,TN,"Davidson County",37204,US,"City of Nashville"
4630,"2022 Rosa L Parks Blvd",NASHVILLE,37228.0,TN,36.188373,-86.798174,1,rooftop,2022,"Rosa L Parks Blvd",,,Nashville,TN,"Davidson County",37228,US,"City of Nashville"
4631,"921 2nd Ave N",NASHVILLE,37201.0,TN,36.173875,-86.783109,1,rooftop,921,"2nd Ave N",,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
4632,"147 7th Ave N",NASHVILLE,37203.0,TN,36.160395,-86.781679,1,range_interpolation,147,"7th Ave N",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
4633,"430 Myatt Dr",MADISON,37115.0,TN,36.273893,-86.690785,1,rooftop,430,"Myatt Dr",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
4634,"4114 TN-106",NASHVILLE,37215.0,TN,36.165688,-86.778098,0.33,place,,,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
4635,"2517 Lebanon Pike",NASHVILLE,37214.0,TN,36.169292,-86.677952,1,rooftop,2517,"Lebanon Pike",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
4636,"5832 Nolensville Pike",NASHVILLE,37211.0,TN,36.039524,-86.712655,1,range_interpolation,5832,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
4637,"2408 Music Valley Dr",NASHVILLE,37214.0,TN,36.219621,-86.695764,1,rooftop,2408,"Music Valley Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
4638,"Cane Ridge Park",ANTIOCH,37013.0,TN,36.041883,-86.661546,0.8,street_center,,"Cane Ridge Rd",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
4639,"1200 Donelson Ave","OLD HICKORY",37138.0,TN,36.264273,-86.651159,1,rooftop,1200,"Donelson Ave",,,"Old Hickory",TN,"Davidson County",37138,US,"City of Nashville"
4640,"4054 Andrew Jackson Pkwy",HERMITAGE,37076.0,TN,36.187353,-86.60849,1,range_interpolation,4054,"Andrew Jackson Pkwy",,,Hermitage,TN,"Davidson County",37076,US,"TIGER/Line® dataset from the US Census Bureau"
4641,"319 Fesslers Ln",NASHVILLE,37210.0,TN,36.151305,-86.742898,1,range_interpolation,319,"Fesslers Ln",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
4642,"3000 West End Ave",NASHVILLE,37203.0,TN,36.143679,-86.814635,1,rooftop,3000,"W End Ave",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4643,"7087 Hwy 70 S",NASHVILLE,37221.0,TN,36.074152,-86.920135,1,rooftop,7087,"Highway 70 S",,,Nashville,TN,"Davidson County",37221,US,"City of Nashville"
4644,"2020 21st Ave S",NASHVILLE,37212.0,TN,36.131994,-86.801273,1,rooftop,2020,"21st Ave S",,,Nashville,TN,"Davidson County",37212,US,"City of Nashville"
4645,"2412 Music Valley Dr",NASHVILLE,37214.0,TN,36.21912,-86.696227,1,rooftop,2412,"Music Valley Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
4646,"3710 Annex Ave",NASHVILLE,37209.0,TN,36.140946,-86.88152,1,rooftop,3710,"Annex Ave",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
4647,"711 Gallatin Ave",NASHVILLE,37206.0,TN,36.184402,-86.747768,1,rooftop,711,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
4648,"4491 Lebanon Pike",HERMITAGE,37076.0,TN,36.214375,-86.598884,1,rooftop,4491,"Lebanon Pike",,,Hermitage,TN,"Davidson County",37076,US,"City of Nashville"
4649,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
4650,"7679 Hwy 70 S",NASHVILLE,37221.0,TN,36.080853,-86.956184,1,range_interpolation,7679,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4651,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
4652,"1400 Donelson Pike Ste B10",NASHVILLE,37217.0,TN,36.097631,-86.679112,1,rooftop,1400,"Donelson Pike",Ste,B10,Nashville,TN,"Davidson County",37217,US,"City of Nashville"
4653,"3871 Lebanon Pike",HERMITAGE,37076.0,TN,36.19368,-86.622496,1,rooftop,3871,"Lebanon Pike",,,Hermitage,TN,"Davidson County",37076,US,"City of Nashville"
4654,"310 S Wilson Blvd",NASHVILLE,37205.0,TN,36.128316,-86.833612,1,rooftop,310,"Wilson Blvd S",,,Nashville,TN,"Davidson County",37205,US,"City of Nashville"
4655,"2256 Murfreesboro Pike",NASHVILLE,37217.0,TN,36.088054,-86.64929,1,range_interpolation,2256,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
4656,"2313 Elliston Pl",NASHVILLE,37203.0,TN,36.149808,-86.805525,1,range_interpolation,2313,"Elliston Pl",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
4657,"880 Conference Dr",GOODLETTSVILLE,37072.0,TN,36.320868,-86.702274,1,rooftop,880,"Conference Dr",,,Goodlettsville,TN,"Davidson County",37072,US,"City of Nashville"
4658,"3302 Ivy Point Rd",GOODLETTSVILLE,37072.0,TN,36.349275,-86.816169,1,range_interpolation,3302,"Ivy Point Rd",,,Goodlettsville,TN,"Davidson County",37072,US,"TIGER/Line® dataset from the US Census Bureau"
4659,"7116 Hwy 70 S",NASHVILLE,37221.0,TN,36.074233,-86.9228,1,range_interpolation,7116,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4660,"1 Park Plaza",NASHVILLE,37203.0,TN,36.152388,-86.815421,1,rooftop,1,"Park Plz",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
4661,"471 Chestnut St",NASHVILLE,37203.0,TN,36.142525,-86.771591,1,range_interpolation,471,"Chestnut St",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
