,Address,City,ZIP,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
65,"1281 3rd Ave S",NASHVILLE,37210.0,TN,36.141713,-86.763804,1,rooftop,1281,"3rd Ave S",,,Nashville,TN,"Davidson County",37210,US,"City of Nashville"
66,"2609 Gallatin Pike",NASHVILLE,37216.0,TN,36.197262,-86.742406,1,rooftop,2609,"Gallatin Pike",,,Nashville,TN,"Davidson County",37216,US,"City of Nashville"
67,"5428 Hickory Hollow Pkwy",ANTIOCH,37013.0,TN,36.045426,-86.652136,0.72,nearest_rooftop_match,5380,"Hickory Hollow Pkwy",,,Antioch,TN,"Davidson County",37013,US,"City of Nashville"
68,"5201 Saundersville Rd",,,TN,36.325884,-86.564439,0.27,place,,,,,Saundersville,TN,"Sumner County",37075,US,"TIGER/Line® dataset from the US Census Bureau"
69,"15180 Old Hickory Blvd",NASHVILLE,37211.0,TN,36.047824,-86.721186,1,rooftop,15180,"Old Hickory Blvd",,,Nashville,TN,"Davidson County",37211,US,"City of Nashville"
70,"3424 Lebanon Pike",HERMITAGE,37076.0,TN,36.191028,-86.628808,1,rooftop,3424,"Lebanon Pike",,,Hermitage,TN,"Davidson County",37076,US,"City of Nashville"
71,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
72,"2312 Murfreesboro Pike",NASHVILLE,37217.0,TN,36.086567,-86.648392,1,range_interpolation,2312,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
73,"1026 Primm Dr",MADISON,37115.0,TN,36.280604,-86.719819,1,rooftop,1026,"Prim Dr",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
74,"7114 Hwy 70 S",NASHVILLE,37221.0,TN,36.074244,-86.92257,1,range_interpolation,7114,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
75,"2535 Powell Ave",NASHVILLE,37204.0,TN,36.110129,-86.766991,1,range_interpolation,2535,"Powell Ave",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
76,"1400 Hynes St",NASHVILLE,37203.0,TN,36.159294,-86.793161,1,rooftop,1400,"Hynes St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
77,"84 Lester Ave",NASHVILLE,37210.0,TN,36.145211,-86.752544,1,range_interpolation,84,"Lester Ave",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
